Tempo_coleta,Bairro,Tipo,Tempo_espera
1509408362.54,Pitimbu,uberX,300
1509408362.54,Pitimbu,UberSELECT,540
1509408363.28,Planalto,uberX,360
1509408364.03,Ponta Negra,uberX,180
1509408364.03,Ponta Negra,UberSELECT,180
1509408364.82,Neópolis,uberX,180
1509408364.82,Neópolis,UberSELECT,180
1509408365.59,Capim Macio,uberX,120
1509408365.59,Capim Macio,UberSELECT,180
1509408366.35,Lagoa Azul,uberX,300
1509408366.35,Lagoa Azul,UberSELECT,420
1509408367.16,Pajuçara,uberX,180
1509408367.16,Pajuçara,UberSELECT,240
1509408367.91,Lagoa Seca,uberX,240
1509408367.91,Lagoa Seca,UberSELECT,420
1509408368.68,Barro Vermelho,uberX,300
1509408368.68,Barro Vermelho,UberSELECT,780
1509408369.45,Candelária,uberX,120
1509408369.45,Candelária,UberSELECT,360
1509408370.24,Praia do Meio,uberX,180
1509408370.24,Praia do Meio,UberSELECT,600
1509408371.0,Rocas,uberX,240
1509408371.0,Rocas,UberSELECT,660
1509408371.77,Santos Reis,uberX,360
1509408371.77,Santos Reis,UberSELECT,900
1509408372.53,Redinha,uberX,360
1509408372.53,Redinha,UberSELECT,540
1509408373.26,Salinas,uberX,540
1509408373.26,Salinas,UberSELECT,540
1509408374.05,Igapó,uberX,180
1509408374.05,Igapó,UberSELECT,360
1509408374.86,Nossa Senhora da Apresentação,uberX,180
1509408374.86,Nossa Senhora da Apresentação,UberSELECT,540
1509408375.63,Potengi,uberX,120
1509408375.63,Potengi,UberSELECT,120
1509408376.45,Ribeira,uberX,360
1509408376.45,Ribeira,UberSELECT,600
1509408377.22,Cidade Alta,uberX,420
1509408377.22,Cidade Alta,UberSELECT,780
1509408377.99,Alecrim,uberX,300
1509408377.99,Alecrim,UberSELECT,540
1509408378.85,Nordeste,uberX,240
1509408378.85,Nordeste,UberSELECT,480
1509408379.65,Quintas,uberX,300
1509408379.65,Quintas,UberSELECT,420
1509408380.44,Bom Pastor,uberX,300
1509408380.44,Bom Pastor,UberSELECT,420
1509408381.24,Dix-Sept Rosado,uberX,240
1509408381.24,Dix-Sept Rosado,UberSELECT,360
1509408382.01,Nossa Senhora de Nazaré,uberX,120
1509408382.01,Nossa Senhora de Nazaré,UberSELECT,120
1509408382.74,Lagoa Nova,uberX,120
1509408382.74,Lagoa Nova,UberSELECT,300
1509408383.6,Mãe Luiza,uberX,300
1509408383.6,Mãe Luiza,UberSELECT,480
1509408384.34,Nova Descoberta,uberX,360
1509408384.34,Nova Descoberta,UberSELECT,480
1509408385.13,Tirol,uberX,480
1509408385.13,Tirol,UberSELECT,600
1509408385.86,Petrópolis,uberX,360
1509408385.86,Petrópolis,UberSELECT,480
1509408386.7,Areia Preta,uberX,240
1509408386.7,Areia Preta,UberSELECT,480
1509408387.49,Cidade Nova,uberX,300
1509408387.49,Cidade Nova,UberSELECT,540
1509408388.24,Cidade da Esperança,uberX,120
1509408388.24,Cidade da Esperança,UberSELECT,180
1509408389.07,Felipe Camarão,uberX,300
1509408389.07,Felipe Camarão,UberSELECT,480
1509408390.01,Guarapes,uberX,540
1509408542.06,Pitimbu,uberX,360
1509408542.06,Pitimbu,UberSELECT,540
1509408542.84,Planalto,uberX,300
1509408543.57,Ponta Negra,uberX,120
1509408543.57,Ponta Negra,UberSELECT,180
1509408544.34,Neópolis,uberX,180
1509408544.34,Neópolis,UberSELECT,180
1509408545.14,Capim Macio,uberX,120
1509408545.14,Capim Macio,UberSELECT,180
1509408545.89,Lagoa Azul,uberX,300
1509408545.89,Lagoa Azul,UberSELECT,480
1509408546.66,Pajuçara,uberX,240
1509408546.66,Pajuçara,UberSELECT,300
1509408547.42,Lagoa Seca,uberX,120
1509408547.42,Lagoa Seca,UberSELECT,420
1509408548.18,Barro Vermelho,uberX,300
1509408548.18,Barro Vermelho,UberSELECT,720
1509408548.97,Candelária,uberX,240
1509408548.97,Candelária,UberSELECT,300
1509408549.72,Praia do Meio,uberX,300
1509408549.72,Praia do Meio,UberSELECT,420
1509408550.47,Rocas,uberX,300
1509408550.47,Rocas,UberSELECT,480
1509408551.25,Santos Reis,uberX,480
1509408551.25,Santos Reis,UberSELECT,780
1509408552.08,Redinha,uberX,360
1509408552.08,Redinha,UberSELECT,600
1509408552.85,Salinas,uberX,540
1509408552.85,Salinas,UberSELECT,660
1509408553.61,Igapó,uberX,120
1509408553.61,Igapó,UberSELECT,360
1509408554.41,Nossa Senhora da Apresentação,uberX,300
1509408554.41,Nossa Senhora da Apresentação,UberSELECT,300
1509408555.15,Potengi,uberX,120
1509408555.15,Potengi,UberSELECT,300
1509408555.91,Ribeira,uberX,240
1509408556.68,Cidade Alta,uberX,360
1509408556.68,Cidade Alta,UberSELECT,600
1509408557.45,Alecrim,uberX,300
1509408557.45,Alecrim,UberSELECT,720
1509408558.24,Nordeste,uberX,120
1509408558.24,Nordeste,UberSELECT,480
1509408559.0,Quintas,uberX,240
1509408559.0,Quintas,UberSELECT,540
1509408559.79,Bom Pastor,uberX,300
1509408559.79,Bom Pastor,UberSELECT,720
1509408560.55,Dix-Sept Rosado,uberX,300
1509408560.55,Dix-Sept Rosado,UberSELECT,660
1509408561.39,Nossa Senhora de Nazaré,uberX,120
1509408561.39,Nossa Senhora de Nazaré,UberSELECT,540
1509408562.16,Lagoa Nova,uberX,300
1509408562.16,Lagoa Nova,UberSELECT,360
1509408562.97,Mãe Luiza,uberX,480
1509408562.97,Mãe Luiza,UberSELECT,600
1509408563.75,Nova Descoberta,uberX,300
1509408563.75,Nova Descoberta,UberSELECT,540
1509408564.53,Tirol,uberX,420
1509408564.53,Tirol,UberSELECT,480
1509408565.31,Petrópolis,uberX,240
1509408565.31,Petrópolis,UberSELECT,360
1509408566.09,Areia Preta,uberX,300
1509408566.09,Areia Preta,UberSELECT,420
1509408566.86,Cidade Nova,uberX,420
1509408566.86,Cidade Nova,UberSELECT,540
1509408567.65,Cidade da Esperança,uberX,180
1509408567.65,Cidade da Esperança,UberSELECT,480
1509408568.41,Felipe Camarão,uberX,480
1509408568.41,Felipe Camarão,UberSELECT,960
1509408569.2,Guarapes,uberX,420
1509408722.27,Pitimbu,uberX,180
1509408722.27,Pitimbu,UberSELECT,540
1509408723.06,Planalto,uberX,240
1509408723.88,Ponta Negra,uberX,180
1509408723.88,Ponta Negra,UberSELECT,240
1509408724.66,Neópolis,uberX,120
1509408724.66,Neópolis,UberSELECT,180
1509408725.44,Capim Macio,uberX,120
1509408725.44,Capim Macio,UberSELECT,180
1509408726.2,Lagoa Azul,uberX,480
1509408726.2,Lagoa Azul,UberSELECT,900
1509408726.93,Pajuçara,uberX,240
1509408726.93,Pajuçara,UberSELECT,240
1509408727.7,Lagoa Seca,uberX,180
1509408727.7,Lagoa Seca,UberSELECT,360
1509408728.49,Barro Vermelho,uberX,300
1509408728.49,Barro Vermelho,UberSELECT,480
1509408729.3,Candelária,uberX,240
1509408729.3,Candelária,UberSELECT,300
1509408730.15,Praia do Meio,uberX,300
1509408730.15,Praia do Meio,UberSELECT,540
1509408730.97,Rocas,uberX,240
1509408730.97,Rocas,UberSELECT,540
1509408731.75,Santos Reis,uberX,540
1509408731.75,Santos Reis,UberSELECT,600
1509408732.62,Redinha,uberX,240
1509408732.62,Redinha,UberSELECT,360
1509408733.38,Salinas,uberX,540
1509408734.28,Igapó,uberX,120
1509408734.28,Igapó,UberSELECT,540
1509408735.08,Nossa Senhora da Apresentação,uberX,120
1509408735.08,Nossa Senhora da Apresentação,UberSELECT,180
1509408735.82,Potengi,uberX,120
1509408735.82,Potengi,UberSELECT,600
1509408736.56,Ribeira,uberX,300
1509408736.56,Ribeira,UberSELECT,600
1509408737.3,Cidade Alta,uberX,360
1509408737.3,Cidade Alta,UberSELECT,600
1509408738.07,Alecrim,uberX,300
1509408738.07,Alecrim,UberSELECT,480
1509408738.85,Nordeste,uberX,300
1509408738.85,Nordeste,UberSELECT,600
1509408739.59,Quintas,uberX,300
1509408739.59,Quintas,UberSELECT,480
1509408740.37,Bom Pastor,uberX,420
1509408740.37,Bom Pastor,UberSELECT,540
1509408741.15,Dix-Sept Rosado,uberX,180
1509408741.15,Dix-Sept Rosado,UberSELECT,240
1509408741.95,Nossa Senhora de Nazaré,uberX,120
1509408741.95,Nossa Senhora de Nazaré,UberSELECT,300
1509408742.7,Lagoa Nova,uberX,180
1509408742.7,Lagoa Nova,UberSELECT,240
1509408743.46,Mãe Luiza,uberX,480
1509408743.46,Mãe Luiza,UberSELECT,660
1509408744.38,Nova Descoberta,uberX,360
1509408744.38,Nova Descoberta,UberSELECT,360
1509408745.14,Tirol,uberX,300
1509408745.14,Tirol,UberSELECT,540
1509408745.96,Petrópolis,uberX,300
1509408745.96,Petrópolis,UberSELECT,600
1509408746.71,Areia Preta,uberX,360
1509408746.71,Areia Preta,UberSELECT,480
1509408747.54,Cidade Nova,uberX,360
1509408747.54,Cidade Nova,UberSELECT,540
1509408748.36,Cidade da Esperança,uberX,300
1509408748.36,Cidade da Esperança,UberSELECT,420
1509408749.12,Felipe Camarão,uberX,240
1509408749.12,Felipe Camarão,UberSELECT,660
1509408749.89,Guarapes,uberX,540
1509408902.93,Pitimbu,uberX,180
1509408902.93,Pitimbu,UberSELECT,540
1509408903.67,Planalto,uberX,240
1509408904.47,Ponta Negra,uberX,180
1509408904.47,Ponta Negra,UberSELECT,240
1509408905.23,Neópolis,uberX,180
1509408905.23,Neópolis,UberSELECT,180
1509408905.97,Capim Macio,uberX,120
1509408905.97,Capim Macio,UberSELECT,120
1509408906.78,Lagoa Azul,uberX,540
1509408906.78,Lagoa Azul,UberSELECT,720
1509408907.64,Pajuçara,uberX,240
1509408907.64,Pajuçara,UberSELECT,300
1509408908.41,Lagoa Seca,uberX,240
1509408908.41,Lagoa Seca,UberSELECT,360
1509408909.18,Barro Vermelho,uberX,180
1509408909.18,Barro Vermelho,UberSELECT,300
1509408909.96,Candelária,uberX,240
1509408909.96,Candelária,UberSELECT,300
1509408910.7,Praia do Meio,uberX,180
1509408910.7,Praia do Meio,UberSELECT,180
1509408911.47,Rocas,uberX,240
1509408911.47,Rocas,UberSELECT,300
1509408912.25,Santos Reis,uberX,360
1509408912.25,Santos Reis,UberSELECT,480
1509408913.09,Redinha,uberX,300
1509408913.09,Redinha,UberSELECT,480
1509408913.85,Salinas,uberX,540
1509408913.85,Salinas,UberSELECT,600
1509408914.63,Igapó,uberX,300
1509408914.63,Igapó,UberSELECT,300
1509408915.39,Nossa Senhora da Apresentação,uberX,120
1509408915.39,Nossa Senhora da Apresentação,UberSELECT,180
1509408916.18,Potengi,uberX,120
1509408916.18,Potengi,UberSELECT,360
1509408916.95,Ribeira,uberX,300
1509408916.95,Ribeira,UberSELECT,360
1509408917.7,Cidade Alta,uberX,300
1509408917.7,Cidade Alta,UberSELECT,600
1509408918.47,Alecrim,uberX,240
1509408918.47,Alecrim,UberSELECT,540
1509408919.22,Nordeste,uberX,240
1509408919.22,Nordeste,UberSELECT,420
1509408920.0,Quintas,uberX,240
1509408920.0,Quintas,UberSELECT,480
1509408920.86,Bom Pastor,uberX,360
